"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4445","user login with valid credentials","Google Chrome","2026-06-08","passed","2026-06-08","","loginTest.spec.ts","",""
"","3657","user login with invalid credentials","Google Chrome","2026-06-08","passed","2026-06-08","","loginTest.spec.ts","",""
